"","Genes","GSM972389","GSM972390","GSM972396","GSM972401","GSM972409","GSM972412","GSM972413","GSM972422","GSM972429","GSM972433","GSM972438","GSM972440","GSM972443","GSM972444","GSM972446","GSM972453","GSM972457","GSM972459","GSM972463","GSM972467","GSM972472","GSM972473","GSM972475","GSM972476","GSM972477","GSM972479","GSM972480","GSM972487","GSM972488","GSM972489","GSM972496","GSM972502","GSM972510","GSM972512","GSM972521"
"14","1553319_at",4.890682958,3.43920488,4.413009241,4.377040245,4.242236,3.778548193,5.063589335,3.426659675,4.662328546,3.172552008,4.249118336,3.218759902,2.594122078,3.26631049,3.284648627,3.828990002,3.84035645,4.293756905,4.260008679,2.566242492,5.474821096,3.481793547,3.518538009,2.878699212,3.446245734,2.866252266,6.381884537,3.485622637,3.772909183,4.389644204,6.506477842,3.10136082,4.001818461,4.054296752,3.37093115
"15","1553613_s_at",3.563028282,5.675952809,4.290533443,4.256211998,5.653990325,4.803039961,4.121620974,6.040063098,4.416206526,6.053083669,4.07219452,5.115032059,5.627502107,6.921124102,4.546893425,4.326135241,4.314313282,6.295633978,3.948021705,6.502246198,5.795527294,4.064994356,3.584809455,5.018643692,6.844087467,6.477349783,3.858221127,3.419555414,4.158227972,4.236600435,3.58276012,5.755124,4.387057069,5.357878126,4.250978666
"16","1553808_a_at",4.524142266,5.802737002,4.1553189,4.908099765,4.223649509,5.000141215,4.335200621,5.428723027,6.748528834,5.795936008,4.234398322,3.893662971,3.1672764,5.317821918,4.728607672,4.041167901,5.001297207,4.369658041,6.177474241,8.125990319,3.582108458,5.653744105,4.451321431,5.752183215,4.680997698,3.15766849,4.184887756,4.6475618,5.092435931,5.240927207,5.575561642,5.097133022,5.067909444,4.89443077,5.09886076
"17","1553828_at",6.026904054,5.038589606,7.119333749,6.308811981,4.739027349,7.370907372,6.977733868,5.418486077,8.450201564,5.651970024,5.186589902,4.771263243,6.312804111,3.855343712,7.801238716,6.195761162,8.752171907,8.26441145,8.129416668,4.006933352,7.826487343,5.972996244,6.166277028,5.286391692,6.353355684,3.382378616,7.258756871,7.994395234,7.917423701,7.916030812,8.170779112,5.173678335,8.498702476,7.497954343,7.076449021
"18","1553970_s_at",3.933264781,4.432915557,4.134990802,3.725918434,3.842775105,4.300927209,4.5703109,6.622563985,4.439598837,9.999456466,4.186930419,3.843679492,4.527159449,3.888279692,3.588808025,7.997613563,3.513674613,6.666645473,3.299966847,6.142695399,3.311342173,9.752151072,3.529040752,3.261574292,3.649580636,3.887531189,4.274457673,4.129069331,7.298580731,3.87761097,4.216083046,5.163020832,4.703428047,5.423769599,5.234793739
"19","1554007_at",5.678767928,3.562993497,4.389033358,4.251075419,4.270871059,6.232719303,5.628247758,3.377164062,3.448715088,5.352778278,6.39543997,4.65278495,3.607859069,5.173006402,3.545507609,3.783198532,4.465660222,3.544468264,4.083892092,7.682686343,4.281259372,3.965543358,4.74921099,5.969971679,3.754874826,5.649202444,3.438406026,3.626682536,4.755741748,4.677327502,3.326063329,4.357444734,3.98192039,3.605271719,5.448660478
"20","1554008_at",3.90714241,4.307276425,3.99755743,4.622634744,4.11231018,3.747740666,4.217939596,3.679783147,3.595578349,4.798873008,6.996278295,4.447735243,3.574696932,7.617727208,3.98210178,3.698571737,3.717715889,3.960374891,3.700103037,5.226377715,4.016414568,3.730215237,3.590274309,4.569795616,3.226546677,6.749102701,3.329685942,3.854253528,3.49760556,3.95418567,4.307458934,3.933063845,3.702955882,4.299737738,4.173707327
"21","1554018_at",4.367492441,3.164222434,2.917720004,4.896501842,7.005093657,3.322553188,6.156596133,4.571976398,2.342110627,5.331157962,5.149147346,4.923321488,3.127418383,5.200465687,3.238193812,3.355902506,3.319009972,2.760552687,3.105722957,3.798043421,3.857622194,4.042460974,4.912525553,5.760366323,2.913184372,7.933750306,2.860259288,2.797481601,3.834971032,3.672989155,2.841906958,3.14020173,3.191000495,4.082762885,5.138456372
"22","1554195_a_at",4.483825084,4.715722959,4.932458731,5.76654192,7.133033964,3.848077882,5.769317604,7.343756625,3.871299412,4.481812985,7.720361276,6.996438526,4.374600806,6.842432726,5.022034527,4.356187307,4.692094906,4.382404576,4.238159214,4.772399763,5.366404765,4.295613883,4.265105271,5.826010905,3.932989883,8.858803632,4.547596535,4.133169827,4.499184444,4.570951591,4.359412498,4.543897553,5.091279187,4.522047151,4.685463089
"23","1554242_a_at",5.308522881,3.650339444,3.806909218,3.406323171,3.726422456,3.349951604,3.093282775,3.237494289,3.26992119,3.367097536,6.976395454,3.144033226,3.538593678,3.539977595,6.602557854,4.852717518,3.315191054,5.944705328,2.971617925,4.783569316,6.990371624,3.116426712,3.953059448,3.677449465,4.029267649,3.037892365,3.221069032,3.15105889,5.947140946,3.680590565,3.628877736,3.114322887,2.894298384,4.105711208,4.434030782
"24","1554375_a_at",2.832460651,4.151472803,4.016366419,4.315307816,3.019449153,6.450818516,2.920365434,3.348588719,3.041352813,2.891418422,4.187602055,3.787517659,3.425255909,2.919174836,3.354899654,4.226103632,5.563814376,2.821245518,5.888267791,3.671386154,2.829472923,2.945642583,2.83304354,2.34418215,4.758663486,2.54889178,4.755215059,5.78281117,3.785000745,4.375022676,5.610248568,3.016601221,3.471187332,5.196356428,2.945001412
"25","1554411_at",5.596998961,7.065126752,6.479355566,8.749451854,7.395941854,5.751061854,8.196852173,7.073978612,5.899917011,5.177552158,7.150153961,5.903944364,10.05095953,8.352723106,6.973929263,5.105387057,5.879773755,4.610536592,7.185121091,4.473363747,6.679238676,8.100154713,6.883945256,6.314787386,4.63540508,5.307771148,6.695767028,6.237750201,6.595917172,7.541613761,7.670166787,5.225140873,8.201734596,6.604033392,6.652432919
"26","1554436_a_at",11.00828009,11.83575921,10.76470029,8.340335399,4.128348172,10.45670043,4.144063233,6.390143416,11.55930376,3.860058417,11.00909143,7.948924312,8.092145215,6.659348579,10.12031827,8.768384069,11.59719932,11.00661595,11.77762883,5.018401043,12.70469915,9.710327694,12.20492413,1.219968505,6.399040473,10.49057617,9.30715414,11.14234017,12.47963934,10.37832473,6.856528933,10.79777193,9.797013838,8.780168907,6.597227899
"27","1554474_a_at",5.042736739,5.741371936,4.588839204,6.583305834,8.633441606,5.903681098,7.942027649,7.055271544,5.248938995,6.318172962,7.872917722,6.938164073,4.778805997,6.609051979,5.339547647,5.776367679,5.505384828,3.758898999,5.378931128,8.685349027,5.688231266,6.203671431,4.487299617,6.696509837,5.032146759,7.091942506,4.783702055,5.427685528,5.770473168,6.259195468,5.773335956,5.163021739,6.168723084,5.667914376,6.880510666
